ensembl_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSG00000230490,1109.2457290560742,1.574235460403926,0.3057701607946563,1.6397680517168896e-8,1.397300167966896e-7,RP11-141M1.3
ENSG00000230882,4223.416515969653,2.8919590530954347,0.20331958131344327,3.7246067485791716e-47,2.822272600717567e-45,AC005077.14
ENSG00000231107,3202.435054494489,1.7998458268221886,0.17920777945042077,6.516400508506961e-25,1.8611707999885966e-23,LINC01508
ENSG00000231667,39.54506557529168,8.833051780977954,3.414347258075405,1.7076367929798703e-5,1.0020057448828742e-4,OR7E111P
ENSG00000232023,69.6908030503465,10.175173417423773,3.1956900583345,2.2699093241265543e-8,1.9038106375707424e-7,AC009410.1
ENSG00000232485,330.8537455731118,1.5126450366269273,0.6384073554081429,7.378687505208453e-4,0.003273530271238157,AC098820.3
ENSG00000232699,2081.8151981766746,2.535459627027847,0.2343854838821647,1.6284580728779744e-28,5.542590259856409e-27,BDH2P1
ENSG00000233029,5319.870334896429,2.109570801995142,0.18425229715526112,1.4470247971204929e-31,5.652882760217712e-30,RP11-439A17.9
ENSG00000233030,8091.472509488491,2.0519064241608267,0.10924029251780538,5.667481744895794e-80,1.0166479115754654e-77,RP11-196G18.3
ENSG00000233614,1219.814787842821,1.5176343821925355,0.27986875236238784,3.751023283158068e-9,3.4246228930811356e-8,DDX11L10
ENSG00000233916,33.680072853035384,8.378987183723092,3.5371579227655476,6.988461918656069e-5,3.7369936516810454e-4,ZDHHC20P1
ENSG00000234073,44.32421473768498,9.130103924150642,3.3482528219143473,5.535393307788427e-6,3.479064950098915e-5,AC011816.1
ENSG00000234405,63.30784557456491,9.970179568094379,3.2157986982801763,7.997428921396205e-8,6.349638725730033e-7,LL0XNC01-250H12.3
ENSG00000234511,56.41600103996354,6.570562053747359,1.7585858379219568,1.1228740549003343e-5,6.756653927133468e-5,C5orf58
ENSG00000234571,4701.335868617351,1.8341821571471657,0.1657314155056542,1.2511848228104769e-29,4.511836634378826e-28,RP5-998N21.4
ENSG00000234961,4966.55387683104,1.669512417372427,0.14819122868994683,1.3457467777467986e-30,5.049638309370297e-29,RP11-124N14.3
ENSG00000234998,409.685159068054,1.6711403015293698,0.5612220502005879,1.3460549437304116e-4,6.85386615012564e-4,RP11-439A17.10
ENSG00000235014,40.762154743516916,8.92333959736385,3.383645120334376,1.1605923252670751e-5,6.968112288945542e-5,REREP2Y
